Date,Predictions
2021-10-15,3284.236609689548
2021-10-16,3284.515339608982
2021-10-17,3284.515339608982
2021-10-18,3284.515339608982
2021-10-19,3284.515339608982
2021-10-20,3284.515339608982
2021-10-21,3284.1290946748995
2021-10-22,3284.515339608982
2021-10-23,3284.515339608982
2021-10-24,3284.515339608982
2021-10-25,3284.515339608982
2021-10-26,3284.515339608982
2021-10-27,3284.515339608982
2021-10-28,3284.515339608982
2021-10-29,3284.515339608982
2021-10-30,3284.515339608982
2021-10-31,3284.515339608982
2021-11-01,3284.515339608982
2021-11-02,3284.515339608982
2021-11-03,3284.515339608982
2021-11-04,3284.515339608982
2021-11-05,3284.515339608982
2021-11-06,3284.515339608982
2021-11-07,3284.515339608982
2021-11-08,3284.515339608982
2021-11-09,3284.3148195894505
2021-11-10,3284.515339608982
2021-11-11,3284.515339608982
2021-11-12,3284.515339608982
2021-11-13,3284.515339608982
2021-11-14,3283.0432615324225
2021-11-15,3265.0575748400247
2021-11-16,3278.305693629358
2021-11-17,3266.710512147812
2021-11-18,3254.535459710862
2021-11-19,3263.859272607494
2021-11-20,3284.515339608982
2021-11-21,3284.515339608982
2021-11-22,3284.515339608982
2021-11-23,3284.515339608982
2021-11-24,3284.515339608982
2021-11-25,3284.515339608982
2021-11-26,3284.515339608982
2021-11-27,3284.515339608982
2021-11-28,3284.515339608982
2021-11-29,3284.515339608982
2021-11-30,3284.1290946748995
2021-12-01,3284.515339608982
2021-12-02,3284.515339608982
2021-12-03,3284.515339608982
2021-12-04,3284.515339608982
2021-12-05,3284.515339608982
2021-12-06,3284.515339608982
2021-12-07,3284.515339608982
2021-12-08,3284.515339608982
2021-12-09,3284.515339608982
2021-12-10,3284.515339608982
2021-12-11,3284.515339608982
2021-12-12,3276.521735141596
2021-12-13,3276.20849093858
2021-12-14,3267.0150285377867
2021-12-15,3279.7455839846402
2021-12-16,3284.515339608982
2021-12-17,3284.515339608982
2021-12-18,3284.515339608982
2021-12-19,3284.515339608982
2021-12-20,3284.515339608982
2021-12-21,3284.515339608982
2021-12-22,3284.515339608982
2021-12-23,3284.515339608982
2021-12-24,3284.515339608982
2021-12-25,3284.515339608982
2021-12-26,3284.515339608982
2021-12-27,3284.515339608982
2021-12-28,3284.515339608982
2021-12-29,3284.515339608982
2021-12-30,3284.515339608982
2021-12-31,3284.515339608982
2022-01-01,3284.515339608982
2022-01-02,3284.1290946748995
2022-01-03,3284.515339608982
2022-01-04,3284.515339608982
2022-01-05,3284.515339608982
2022-01-06,3284.515339608982
2022-01-07,3284.515339608982
2022-01-08,3284.515339608982
2022-01-09,3284.515339608982
2022-01-10,3284.515339608982
2022-01-11,3284.515339608982
2022-01-12,3284.515339608982
2022-01-13,3284.515339608982
2022-01-14,3284.515339608982
2022-01-15,3284.515339608982
2022-01-16,3284.515339608982
2022-01-17,3284.515339608982
2022-01-18,3284.515339608982
2022-01-19,3284.515339608982
2022-01-20,3284.515339608982
2022-01-21,3284.1290946748995
2022-01-22,3284.515339608982
2022-01-23,3284.1290946748995
2022-01-24,3284.1290946748995
2022-01-25,3284.1290946748995
2022-01-26,3284.515339608982
2022-01-27,3284.515339608982
2022-01-28,3284.515339608982
2022-01-29,3284.515339608982
2022-01-30,3284.515339608982
2022-01-31,3284.515339608982
2022-02-01,3284.515339608982
2022-02-02,3284.515339608982
2022-02-03,3284.515339608982
2022-02-04,3284.515339608982
2022-02-05,3284.515339608982
2022-02-06,3284.515339608982
2022-02-07,3284.515339608982
2022-02-08,3284.515339608982
2022-02-09,3284.515339608982
2022-02-10,3284.515339608982
2022-02-11,3284.515339608982
2022-02-12,3284.515339608982
2022-02-13,3284.515339608982
2022-02-14,3284.515339608982
2022-02-15,3284.515339608982
2022-02-16,3284.515339608982
2022-02-17,3284.515339608982
2022-02-18,3284.515339608982
2022-02-19,3284.515339608982
2022-02-20,3284.515339608982
2022-02-21,3284.515339608982
2022-02-22,3284.515339608982
2022-02-23,3284.515339608982
2022-02-24,3284.515339608982
2022-02-25,3284.515339608982
2022-02-26,3284.515339608982
2022-02-27,3284.515339608982
2022-02-28,3284.515339608982
2022-03-01,3284.515339608982
2022-03-02,3284.515339608982
2022-03-03,3284.515339608982
2022-03-04,3284.515339608982
2022-03-05,3284.515339608982
2022-03-06,3284.515339608982
2022-03-07,3284.515339608982
2022-03-08,3284.515339608982
2022-03-09,3284.515339608982
2022-03-10,3284.515339608982
2022-03-11,3284.515339608982
2022-03-12,3284.515339608982
2022-03-13,3284.515339608982
2022-03-14,3284.515339608982
2022-03-15,3284.515339608982
2022-03-16,3284.515339608982
2022-03-17,3284.515339608982
2022-03-18,3284.515339608982
2022-03-19,3284.515339608982
2022-03-20,3284.515339608982
2022-03-21,3284.515339608982
2022-03-22,3284.515339608982
2022-03-23,3284.515339608982
2022-03-24,3284.515339608982
2022-03-25,3284.515339608982
2022-03-26,3284.515339608982
2022-03-27,3284.515339608982
2022-03-28,3284.515339608982
2022-03-29,3284.515339608982
2022-03-30,3284.515339608982
2022-03-31,3284.515339608982
2022-04-01,3284.515339608982
2022-04-02,3284.515339608982
2022-04-03,3284.515339608982
2022-04-04,3284.515339608982
2022-04-05,3284.515339608982
2022-04-06,3284.515339608982
2022-04-07,3284.515339608982
2022-04-08,3284.515339608982
2022-04-09,3284.515339608982
2022-04-10,3284.515339608982
2022-04-11,3284.515339608982
2022-04-12,3284.515339608982
2022-04-13,3284.515339608982
2022-04-14,3284.515339608982
2022-04-15,3284.515339608982
2022-04-16,3284.515339608982
2022-04-17,3284.515339608982
2022-04-18,3284.515339608982
2022-04-19,3284.515339608982
2022-04-20,3284.515339608982
2022-04-21,3284.515339608982
2022-04-22,3284.515339608982
2022-04-23,3284.515339608982
2022-04-24,3284.515339608982
2022-04-25,3284.515339608982
2022-04-26,3284.515339608982
2022-04-27,3284.1290946748995
2022-04-28,3284.1290946748995
2022-04-29,3284.515339608982
2022-04-30,3284.1290946748995
2022-05-01,3284.1290946748995
2022-05-02,3284.1290946748995
2022-05-03,3284.1290946748995
2022-05-04,3284.1290946748995
2022-05-05,3284.515339608982
2022-05-06,3284.515339608982
2022-05-07,3284.515339608982
2022-05-08,3284.515339608982
2022-05-09,3284.515339608982
2022-05-10,3284.515339608982
2022-05-11,3284.1290946748995
2022-05-12,3284.515339608982
2022-05-13,3284.515339608982
2022-05-14,3284.515339608982
2022-05-15,3284.515339608982
2022-05-16,3284.1290946748995
2022-05-17,3284.515339608982
2022-05-18,3284.515339608982
2022-05-19,3284.515339608982
2022-05-20,3284.515339608982
2022-05-21,3284.515339608982
2022-05-22,3284.1290946748995
2022-05-23,3284.1290946748995
2022-05-24,3284.1290946748995
2022-05-25,3284.1290946748995
2022-05-26,3284.515339608982
2022-05-27,3284.1290946748995
2022-05-28,3284.1290946748995
2022-05-29,3284.515339608982
2022-05-30,3284.1290946748995
2022-05-31,3284.1290946748995
2022-06-01,3284.1290946748995
2022-06-02,3284.1290946748995
2022-06-03,3284.1290946748995
2022-06-04,3284.1290946748995
2022-06-05,3284.1290946748995
2022-06-06,3284.1290946748995
2022-06-07,3284.1290946748995
2022-06-08,3284.1290946748995
2022-06-09,3284.1290946748995
2022-06-10,3284.515339608982
2022-06-11,3284.515339608982
2022-06-12,3284.1290946748995
2022-06-13,3284.1290946748995
2022-06-14,3284.1290946748995
2022-06-15,3284.1290946748995
2022-06-16,3284.1290946748995
2022-06-17,3284.1290946748995
2022-06-18,3284.1290946748995
2022-06-19,3284.1290946748995
2022-06-20,3284.1290946748995
2022-06-21,3284.1290946748995
2022-06-22,3284.1290946748995
2022-06-23,3284.1290946748995
2022-06-24,3284.1290946748995
2022-06-25,3284.1290946748995
2022-06-26,3284.1290946748995
2022-06-27,3284.1290946748995
2022-06-28,3284.1290946748995
2022-06-29,3284.1290946748995
2022-06-30,3284.1290946748995
2022-07-01,3284.1290946748995
2022-07-02,3284.1290946748995
2022-07-03,3284.1290946748995
2022-07-04,3284.1290946748995
2022-07-05,3284.1290946748995
2022-07-06,3284.1290946748995
2022-07-07,3284.1290946748995
2022-07-08,3284.1290946748995
2022-07-09,3284.1290946748995
2022-07-10,3284.1290946748995
2022-07-11,3284.1290946748995
2022-07-12,3284.1290946748995
2022-07-13,3284.1290946748995
2022-07-14,3284.1290946748995
2022-07-15,3284.1290946748995
2022-07-16,3284.1290946748995
2022-07-17,3284.1290946748995
2022-07-18,3284.1290946748995
2022-07-19,3284.1290946748995
2022-07-20,3284.1290946748995
2022-07-21,3284.1290946748995
2022-07-22,3284.1290946748995
2022-07-23,3284.515339608982
2022-07-24,3284.515339608982
2022-07-25,3284.1290946748995
2022-07-26,3284.1290946748995
2022-07-27,3284.1290946748995
2022-07-28,3284.1290946748995
2022-07-29,3284.1290946748995
2022-07-30,3284.1290946748995
2022-07-31,3284.1290946748995
2022-08-01,3284.1290946748995
2022-08-02,3284.1290946748995
2022-08-03,3284.1290946748995
2022-08-04,3284.1290946748995
2022-08-05,3284.1290946748995
2022-08-06,3284.1290946748995
2022-08-07,3284.1290946748995
2022-08-08,3284.1290946748995
2022-08-09,3284.1290946748995
2022-08-10,3284.1290946748995
2022-08-11,3284.1290946748995
2022-08-12,3284.1290946748995
